Title,Description,Link
"LG इंडिया ₹15,000 करोड़ का IPO लाएगी:",सेबी ने अप्रूवल दिया; देश के टॉप-5 IPO में से एक होगा,https://your-news-website.com/business/news/lg-electronics-india-gets-sebi-approval-for-rs-15000-crore-ipo-134642640.html
"गौतम अडाणी को ₹2,029 करोड़ रिश्वत मामले में समन:","सोने की कीमत ₹700 बढ़कर ₹86,843 के ऑल टाइम हाई पर, अपडेटेड टाटा टियागो NRG लॉन्च",https://your-news-website.com/business/news/gautam-adani-summoned-in-2029-crore-bribery-case-134642292.html
गौतम अडाणी को अमेरिकी मार्केट रेगुलेटर का समन:,"केंद्र सरकार ने अहमदाबाद कोर्ट को भेजा; अमेरिका में ₹2,029 करोड़ रिश्वत देने का आरोप0:53",https://your-news-website.com/business/news/centre-forwards-us-sec-summons-for-gautam-adani-to-gujarat-court-134639156.html
क्रेडिट लिमिट का कम इस्तेमाल बढ़ाएगा सिबिल स्कोर:,"30% लिमिट का ही इस्तेमाल करें, 4 जरूरी बातें जिनसे मेंटेन रहेगा क्रेडिट स्कोर",https://your-news-website.com/business/news/credit-card-utilization-ratio-cibil-score-manage-tips-134638076.html
"सोना ₹700 बढ़कर ₹86,843 के ऑल टाइम हाई पर:","72 दिन में ₹10,681 दाम बढ़े; चांदी ₹222 बढ़कर ₹ 98,322 प्रति किलो हुई1:08",https://your-news-website.com/business/news/gold-rate-today-13-march-2025-sona-chandi-ka-bhav-134637472.html
नारायण मूर्ति बोले- कर्मचारियों के साथ इंसानी बरताव करें:,कंपनियों से कहा- मैक्सिमम और मिनिमम सैलरी के बीच के अंतर को कम करें,https://your-news-website.com/business/news/narayan-murthy-said-treat-employees-like-humans-134638463.html
"सेंसेक्स 200 अंक गिरकर 73,828 पर बंद:","निफ्टी 73 अंक नीचे 22,397 पर आया, रियल्टी और मीडिया शेयरों में सबसे ज्यादा बिकवाली",https://your-news-website.com/business/news/sensex-gained-points-nifty-rose-by-points-134636802.html
ऑनलाइन टैक्सी बुकिंग में भेदभाव का मामला संसद पहुंचा:,आईफोन यूजर से ज्यादा किराया वसूलने का आरोप; सरकार बोली- जांच चल रही है,https://your-news-website.com/business/news/the-matter-of-discrimination-in-online-taxi-booking-reached-the-parliament-134636424.html
रिटेल महंगाई फरवरी में घटकर 3.61% पर आई:,"एयरटेल के बाद जियो की भी स्पेस-X से डील, FY26 में 6.5% की दर से बढ़ेगी GDP",https://your-news-website.com/business/news/business-news-update-share-market-gold-silver-rate-petrol-diesel-retail-inflation-spacex-jio-airtel-134633228.html
इंडस्ट्रियल ग्रोथ 8 महीने के उच्चतम स्तर पर:,"जनवरी में IIP 5% रही, मैन्युफैक्चरिंग सेक्टर का अच्छा परफॉर्मेंस इसका कारण",https://your-news-website.com/business/news/indias-iip-records-growth-of-50-in-january-2025-134633004.html
"फरवरी में इक्विटी म्यूचुअल फंड में ₹29,303 करोड़ का निवेश:",पिछले महीने के मुकाबले 26.1% कम; सभी स्कीम्स में निवेश ₹1.47 लाख करोड़ घटा,https://your-news-website.com/business/news/equity-mutual-funds-investment-february-2025-record-amfi-report-134632493.html
"चांदी ₹1,474 महंगी होकर ₹98,100 किलो पर पहुंची:","सोना ₹119 बढ़कर ₹86,143 प्रति 10 ग्राम बिक रहा, कैरेट के हिसाब से देखें गोल्ड की कीमत",https://your-news-website.com/business/news/gold-price-today-12-march-2025-sona-chandi-ka-bhav-aaj-ka-134631159.html
फरवरी में रिटेल महंगाई घटकर 3.61% पर आई:,"7 महीने में सबसे कम, सब्जियां-दालें सस्ती; जनवरी में महंगाई 4.31% पर थी0:57",https://your-news-website.com/business/news/retail-inflation-may-come-down-in-february-134631148.html
"सेंसेक्स 72 अंक गिरकर 74,029 पर बंद:",निफ्टी भी 27 अंक गिरा; इंडसइंड बैंक के शेयर में आज 4.42% की तेजी रही,https://your-news-website.com/business/news/sensex-is-trading-up-250-points-at-74350-134630645.html
FY26 में 6.5% की दर से बढ़ेगी भारतीय इकोनॉमी:,"कैपिटल एक्सपेंडिचर, टैक्स और ब्याज दर में कटौती से ग्रोथ को सपोर्ट; बैंकिंग सेक्टर में स्थिरता रहेगी",https://your-news-website.com/business/news/indian-economy-gdp-growth-rate-projections-2026-update-134631913.html
boAt अगले हफ्ते SEBI के पास DRHP फाइल करेगी:,"IPO से ₹2,000 करोड़ जुटाने का प्लान, कंपनी ने पहले 2022 में भी किया था अप्लाई",https://your-news-website.com/business/news/boat-aims-to-float-rs-2000-crore-ipo-as-early-as-next-week-134631898.html
सीनियर सिटीजन्स सेविंग्स स्कीम में टैक्स छूट और बेहतर रिटर्न:,"इसमें मिल रहा 8.2% ब्याज, जानें इस स्कीम से जुड़ी खास बातें",https://your-news-website.com/business/news/tax-saving-investment-senior-citizens-savings-scheme-interest-rate-benefits-134631620.html
"₹1,000 करोड़ का IPO लाएगी क्रिजैक लिमिटेड:",SEBI ने ड्राफ्ट पेपर्स को अप्रूवल दिया; स्टूडेंट्स को एजुकेशन सर्विस प्रोवाइड करती है कंपनी,https://your-news-website.com/business/news/education-platform-crizac-gets-sebi-nod-for-rs-1000-crore-ipo-134631614.html
टेमासेक ने हल्दीराम स्नैक्स में 10% हिस्सेदारी खरीदी:,"8,730 करोड़ रुपए में डील; 500 प्रकार के स्नैक्स, नमकीन बेचती है कंपनी",https://your-news-website.com/business/news/temasek-buys-stake-in-haldirams-snacks-division-134631613.html
एयरटेल के बाद जियो की भी स्पेस-X से डील:,"देश में सैटेलाइट से इंटरनेट मिलेगा, मस्क की कंपनी के पास दुनिया का सबसे बड़ा नेटवर्क1:09",https://your-news-website.com/business/news/after-airtel-jio-also-has-a-deal-with-space-x-134630513.html
अमेरिकी बाजार में बड़ी गिरावट जारी:,"डाउ जोंस 2 दिन में 3% से ज्यादा टूटा, इससे अमेरिका में मंदी की आहट",https://your-news-website.com/business/news/big-decline-continues-in-us-market-this-signals-a-recession-in-america-134630916.html
मस्क का सैटेलाइट इंटरनेट भारत में मिलेगा:,"NSE ने निफ्टी केमिकल्स इंडेक्स लॉन्च किया, इंडसइंड बैंक का शेयर 27% टूटा",https://your-news-website.com/business/news/business-news-update-share-market-gold-silver-rate-petrol-diesel-spacex-airtel-134627109.html
न्यू इंडिया को-ऑपरेटिव बैंक के पूर्व मैनेजर का पॉलीग्राफ टेस्ट:,"हितेश मेहता पर ₹122 करोड़ गबन का आरोप, बैंक में डिपॉजिट और विड्रॉल पर रोक",https://your-news-website.com/business/news/polygraph-test-of-former-manager-of-new-india-co-operative-bank-134627426.html
अयाना पावर की 100% हिस्सेदारी खरीदेंगी ONGC- NTPC:,"CCI ने अप्रूवल दिया, पिछले महीने ₹19,500 करोड़ में डील हुई थी",https://your-news-website.com/business/news/competition-commission-clears-ongc-ntpc-green-s-proposal-to-acquire-ayana-for-rs-19-500-crore-134626982.html
NSE ने निफ्टी केमिकल्स इंडेक्स लॉन्च किया:,नया इंडेक्स निफ्टी-500 में शामिल केमिकल्स सेक्टर के स्टॉक्स की परफॉर्मेंस को ट्रैक करेगा,https://your-news-website.com/business/news/nse-indices-launches-nifty-chemicals-index-134626845.html
"देश में सैटेलाइट से इंटरनेट मिलेगा, स्पेस X-एयरटेल में करार:","जंगल-पहाड़ सब जगह चलेगा, मस्क की कंपनी के पास सबसे बड़ा सैटेलाइट नेटवर्क1:10",https://your-news-website.com/business/news/elon-musks-starlink-service-will-be-available-in-india-134625982.html
UPI-RuPay कार्ड यूज करने पर देना पड़ सकता है चार्ज:,सरकार एक बार फिर मर्चेंट फीस लागू करने पर कर रही विचार,https://your-news-website.com/business/news/upi-and-rupay-merchant-charges-may-return-134626151.html
